0.0000,0.0000,0.0000,0.650,0.89130
-18.1007,143.5620,-242.6120,0.396,14.19036
5.0098,9.8817,-44.2976,1.038,0.31704
-123.2580,303.6977,-138.6362,-0.005,223.14508
44.7442,-36.5018,-115.3902,0.266,7.71607
94.7203,-38.4668,-331.5261,0.820,35.52109
-4.4231,27.2536,-41.7807,1.416,0.02319
-12.2689,40.5845,-37.1473,0.540,0.34363
-50.4801,149.0259,-112.4977,1.822,6.96657
-69.2050,175.0006,-88.3626,0.706,12.29447
31.6282,-24.8845,-83.7715,0.423,2.45683
-91.2272,205.8126,-60.4522,0.071,48.87484
100.5617,-16.3791,-407.8831,1.086,58.25835
56.2807,70.5951,-408.1335,0.902,40.95933
-10.2873,95.6997,-170.3883,0.902,37.42469
-167.3770,363.6326,-79.7089,0.991,46.95347
43.8586,-17.0621,-155.6425,0.342,11.27846
-1.0709,22.0600,-45.0533,1.137,0.07568
-83.3980,206.4135,-96.6980,0.706,111.73920
-22.7091,69.7757,-57.0342,0.540,2.64469
-21.0170,101.5129,-136.2869,0.991,21.73573
106.4101,-78.9244,-293.2805,0.820,26.86679
-13.5883,53.4208,-60.5740,0.317,4.88167
14.5073,15.9769,-100.4836,0.540,1.96686
21.6675,-12.2538,-68.3910,0.636,12.64813
6.2500,33.4066,-103.3702,0.451,2.04818
28.6862,-12.6568,-98.6571,0.706,1.55613
51.6556,-27.3299,-167.3972,0.342,7.16872
144.5516,-106.2181,-401.2156,0.820,33.10532
-96.6789,228.7654,-89.0932,0.021,26.83623
-42.8780,286.7811,-459.6593,0.991,203.40627
-134.1001,287.8343,-56.8055,-0.030,18.67569
3.6252,39.0929,-104.7404,0.317,5.58888
-21.1899,61.2161,-44.6523,0.465,12.87387
24.6236,107.7738,-353.8589,0.820,25.12498
-25.0733,101.7069,-119.2572,0.902,16.56986
89.8347,-60.3484,-262.4012,0.266,4.17018
19.4760,-26.8381,-25.6884,0.743,0.47357
7.7244,23.4817,-87.6558,0.342,6.68029
-124.5566,261.5255,-39.8301,0.021,21.97596
-41.0703,120.6027,-91.2994,0.317,10.00826
-58.4459,117.1485,-6.1193,0.860,44.97291
